Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,19019,7421,533
c_benchmarks/clang-19595,12437,7271,311
c_benchmarks/clang-20680,14800,9755,334
c_benchmarks/clang-21467,14214,7463,440
c_benchmarks/clang-21582,69112,7210,1196
c_benchmarks/clang-22337,16769,2155,333
c_benchmarks/clang-22382,11103,865,181
c_benchmarks/clang-22704,10381,7809,202
c_benchmarks/clang-23309,35625,5001,1119
c_benchmarks/clang-23353,12268,3008,181
c_benchmarks/clang-25900,15462,2171,516
c_benchmarks/clang-26350,32711,12039,471
c_benchmarks/clang-26760,10658,3347,273
c_benchmarks/clang-27137,41442,19895,617
c_benchmarks/clang-27747,21858,1786,340
c_benchmarks/clang-31259,17721,3958,555
c_benchmarks/gcc-58731,10091,4716,398
c_benchmarks/gcc-59903,22168,3535,692
c_benchmarks/gcc-60116,32950,3717,1119
c_benchmarks/gcc-60452,63888,4311,800
c_benchmarks/gcc-61047,19883,1980,554
c_benchmarks/gcc-61383,24578,3758,413
c_benchmarks/gcc-61917,14429,2970,327
c_benchmarks/gcc-64990,42174,10545,752
c_benchmarks/gcc-65383,15951,2344,263
c_benchmarks/gcc-66186,20089,6535,594
c_benchmarks/gcc-66375,22123,8853,858
c_benchmarks/gcc-66412,33378,3464,831
c_benchmarks/gcc-66691,23486,3362,751
c_benchmarks/gcc-70127,32727,14255,652
c_benchmarks/gcc-70586,46264,12226,829
c_benchmarks/gcc-71626,3496,142,53
